id,xcoord,ycoord,area,perimeter,MeanCI,MeanGNDVI,MeanNDRE,MeanNDVI,MeanNLI,MeanRCI,MeanTCARI,Predicted_Yield
175,327636,9750491,2.372314453,5.800423796,2.819895492,0.638139062,0.108856659,0.522086266,-0.784553539,0.247627947,0.00248528,5.15018870211611
176,327641,9750490,3.276367188,7.179773832,2.564126523,0.650888839,0.148431295,0.51450116,-0.796510045,0.35322343,0.005718129,6.64820942934057
177,327662,9750491,6.663818359,10.17598271,3.507509354,0.685886212,0.155207271,0.588546902,-0.725079725,0.373078055,0.000802588,6.90470079656819
178,327665,9750490,4.628173828,9.50447186,3.060592614,0.662239751,0.146226409,0.555314798,-0.785162047,0.347417891,0.002929224,6.56474776644196
179,327639,9750490,3.733642578,7.532292854,2.555493417,0.634263379,0.134863296,0.502865908,-0.785791667,0.315936579,0.005568392,6.13461926697089
180,327694,9750490,2.745361328,6.506225945,3.133345952,0.665147704,0.136531362,0.559615263,-0.777269212,0.321216177,0.002521243,6.19776065486334
181,327688,9750490,2.691650391,6.515131665,2.627948394,0.653327645,0.147129866,0.525528135,-0.799524575,0.351873318,0.006504726,6.59894637062258
182,327668,9750490,3.505615234,6.976121103,2.934887197,0.611262371,0.1017935,0.527572708,-0.782359095,0.230604649,0.004024721,4.8828265820531
183,327671,9750489,2.378173828,5.810090746,2.496013568,0.624196028,0.088536417,0.523231923,-0.820487481,0.196707275,0.008073881,4.38100553898564
184,327691,9750490,3.843017578,8.005991997,2.457471233,0.648627295,0.132299705,0.518926861,-0.815719602,0.309982542,0.007504446,6.03757952530085
185,327674,9750489,2.817138672,6.524141149,2.473230584,0.650035029,0.112268066,0.513403565,-0.814602999,0.25776223,0.006663232,5.27932086633863
186,327648,9750489,3.215087891,7.008564085,2.542822671,0.649407679,0.118577039,0.522738823,-0.813303417,0.27471307,0.006638874,5.51813474504366
187,327697,9750489,1.826660156,5.257761801,2.117770477,0.641628708,0.13118645,0.492547127,-0.838273886,0.306687676,0.009352748,5.99543942666074
188,327645,9750489,2.907226563,6.572914938,2.149597537,0.628677673,0.138682213,0.474465353,-0.816184452,0.326906892,0.008147491,6.27917692813422
189,327700,9750489,2.366943359,5.766288145,2.566589074,0.626889692,0.113216082,0.495220702,-0.807064534,0.25894327,0.004983477,5.31520616463273
190,327624,9750489,1.510498047,4.549289208,2.111716958,0.627665874,0.140266856,0.482319707,-0.82818225,0.329219767,0.008861278,6.33916050092693
191,327651,9750489,2.818603516,7.643864336,2.172122938,0.615590442,0.122702781,0.481142421,-0.841748431,0.283849756,0.008155813,5.67430666867627
192,327622,9750489,4.708984375,8.667103979,3.042964986,0.624878,0.11731291,0.544115044,-0.76654756,0.268792422,0.003165724,5.47028360513967
193,327703,9750488,2.907226563,6.446166924,2.786900615,0.640814479,0.110303951,0.521256603,-0.79611941,0.251563568,0.003841631,5.20497312045785
194,327677,9750488,2.163085938,6.238233321,2.405517846,0.639198867,0.113562607,0.520074485,-0.832538662,0.262119145,0.008169056,5.32832319323918
195,327682,9750488,2.045654297,5.695683243,2.443085907,0.640935891,0.103990465,0.516915313,-0.841626734,0.23654138,0.006609335,4.96598841093225
196,327631,9750488,2.365966797,5.672467737,2.667027728,0.626952658,0.134077679,0.497978556,-0.782195099,0.313710262,0.003085731,6.10488126635707
197,327680,9750488,2.291503906,5.816639718,2.074717798,0.613866206,0.099109227,0.482132033,-0.842192049,0.223224026,0.010473427,4.78121865844443
198,327628,9750488,4.093017578,7.939797361,2.54643475,0.643501623,0.147365194,0.501793704,-0.77213986,0.352153727,0.005801125,6.6078542534821
200,327654,9750488,4.255615234,8.396194071,2.600643468,0.646375005,0.134598322,0.533730586,-0.812193735,0.316128068,0.007052219,6.12458919255213
201,327633,9750487,2.3203125,5.788371533,2.423936997,0.639070092,0.141705794,0.498378999,-0.797714747,0.335404946,0.007166001,6.393628694878
202,327657,9750488,4.503662109,9.260196634,2.471944958,0.640848125,0.140684262,0.522213277,-0.818205949,0.332491272,0.007788723,6.35496059166353
203,327636,9750487,2.57421875,6.135431174,2.251924268,0.629134051,0.129894337,0.488597234,-0.820687308,0.303352473,0.008347219,5.94652900696879
204,327686,9750487,3.958496094,7.904208456,2.884882923,0.642597918,0.126526866,0.539699886,-0.793626696,0.295669038,0.004765476,5.81905995440878
205,327689,9750487,3.445068359,7.200337297,2.434887796,0.64289374,0.13237955,0.510872353,-0.818298064,0.310137204,0.007139903,6.04060190218298
206,327662,9750487,3.580810547,7.560657786,2.67159071,0.679802666,0.16722561,0.540589916,-0.802924901,0.408028052,0.005668783,7.35963159943925
207,327659,9750487,3.606201172,7.784615749,2.694667725,0.647578378,0.104781056,0.537396278,-0.816620621,0.237583932,0.005493229,4.99591469262331
208,327692,9750487,4.385986328,7.784745309,3.374937795,0.65123375,0.121911801,0.573367391,-0.75104131,0.281791153,0.002202043,5.64436566214825
209,327639,9750486,4.451416016,8.167459155,3.340159549,0.639241078,0.12672941,0.555473144,-0.744861471,0.295061127,0.000907262,5.82672686283404
210,327668,9750486,1.418212891,4.469339964,2.16245486,0.594375146,0.077048651,0.497577733,-0.849399187,0.167954787,0.010720664,3.94615854310918
211,327698,9750486,1.42578125,4.467217325,1.923656361,0.606906917,0.10936562,0.461793654,-0.846344921,0.247861349,0.010802185,5.16945442896573
212,327642,9750486,3.305175781,6.998707521,3.171580642,0.659038536,0.143538425,0.559111476,-0.768443666,0.338789294,0.002466692,6.46299937015987
213,327665,9750486,4.534667969,8.383335857,3.084301614,0.686120311,0.167424246,0.570321491,-0.764087415,0.408303507,0.003682123,7.36715057813998
214,327695,9750486,2.754882813,6.330071934,2.433739318,0.633529142,0.114231298,0.517654937,-0.824064094,0.259819684,0.008064421,5.35363518797511
215,327645,9750486,2.027587891,5.586708543,2.391055415,0.648428044,0.156158862,0.500189814,-0.816381127,0.379136305,0.006498337,6.94072141952073
216,327622,9750485,1.324951172,4.498477254,1.831542327,0.608120173,0.124799647,0.455233955,-0.849013502,0.288162153,0.011031054,5.75367944497198
217,327671,9750485,2.801757813,6.514312451,2.158610642,0.62756085,0.117803408,0.496404178,-0.838026806,0.270559371,0.009808389,5.48885045110288
218,327674,9750485,1.581787109,5.000232819,2.27132457,0.629999344,0.119033974,0.506867697,-0.844518729,0.273550961,0.008430577,5.53543112904563
219,327700,9750485,1.323974609,4.332461532,1.634871255,0.586000523,0.120701248,0.427498011,-0.858763701,0.27996856,0.01179446,5.59854253732144
220,327648,9750485,3.803466797,7.961405583,2.653399308,0.632743577,0.117649011,0.526331067,-0.817820175,0.270376196,0.005661032,5.48300605353921
221,327677,9750485,1.741455078,5.083162448,2.286192543,0.620154168,0.08364948,0.511882079,-0.839705909,0.183884708,0.009842779,4.19602006195838
222,327706,9750484,1.195800781,4.065408588,1.696092859,0.613018754,0.124954453,0.425352432,-0.861657944,0.290537379,0.009755087,5.75953932443363
223,327625,9750485,3.866699219,7.411061934,2.840850387,0.645053891,0.137520614,0.525433144,-0.77384314,0.325021665,0.004526642,6.23520686158141
224,327651,9750485,2.994384766,6.697337099,2.459857362,0.648808133,0.113691179,0.507990273,-0.826206719,0.260234338,0.005408483,5.33319003575267
225,327704,9750484,1.944091797,5.76726053,2.283665955,0.623076767,0.102980426,0.501803223,-0.838240095,0.231561376,0.009023084,4.92775535283653
226,327628,9750484,2.543457031,6.114046875,2.214520995,0.633030648,0.141957968,0.484551249,-0.812014616,0.337938066,0.008896086,6.40317425023995
227,327654,9750484,3.580078125,7.292232874,3.339046749,0.633117277,0.108937414,0.57951738,-0.766980489,0.24796605,0.002615715,5.15324552527494
228,327656,9750484,4.153564453,8.318643599,2.51332476,0.645212213,0.144912223,0.520192549,-0.807172301,0.343834504,0.007097746,6.51500181634837
229,327683,9750484,2.186523438,6.224702878,2.005503402,0.630637738,0.133973164,0.479734955,-0.844063023,0.313563768,0.009830742,6.10092505469903
230,327660,9750484,3.909179688,8.002461318,2.332349664,0.635130856,0.132933073,0.511271222,-0.823939366,0.30951856,0.00884609,6.06155443670523
231,327631,9750484,4.039794922,7.783348046,2.455741173,0.629556505,0.128510955,0.502784929,-0.801259257,0.298736483,0.00714369,5.8941637771365
232,327663,9750483,2.254394531,5.940496296,2.755767546,0.674329856,0.137713333,0.567993166,-0.814936353,0.324817168,0.007044998,6.24250186377751
233,327633,9750483,2.407958984,6.468281433,2.036009225,0.625988627,0.140993189,0.467650108,-0.836850382,0.334712792,0.008343589,6.36665442124668
234,327637,9750483,2.011962891,5.51456043,1.887775136,0.629055279,0.133980225,0.46703159,-0.836372801,0.312648024,0.011239097,6.10119233509436
235,327686,9750483,1.447998047,4.513767289,1.878050344,0.596854321,0.113033293,0.460824293,-0.850774844,0.259771346,0.011357029,5.30828704323618
236,327640,9750482,1.956542969,5.206010488,2.398209811,0.62945293,0.120355419,0.506543507,-0.810417007,0.276723166,0.008170454,5.58545185443871
237,327689,9750483,4.264404297,8.389289471,3.03707928,0.594522359,0.083713379,0.547302102,-0.79336372,0.185952071,0.005453556,4.19843883408427
238,327666,9750483,4.343994141,8.801086752,3.433158164,0.6703526,0.144954899,0.580606863,-0.764892901,0.346385933,0.000765037,6.51661723316622
239,327692,9750482,2.299804688,5.689931959,2.265150584,0.645173004,0.133001279,0.499727134,-0.835697919,0.310492926,0.007697191,6.06413624192313
240,327668,9750482,3.497314453,7.770709265,2.855242183,0.675661159,0.157631656,0.552084698,-0.791226221,0.380884155,0.005178763,6.99647116637707
241,327643,9750482,3.920898438,7.660644322,2.920657597,0.656003637,0.139497326,0.553218098,-0.789721851,0.327677493,0.004918145,6.31003144234959
242,327695,9750482,3.817626953,7.38308396,2.97154566,0.637629179,0.115592678,0.531785267,-0.781304662,0.264633507,0.002760607,5.4051675749724
243,327698,9750481,2.676269531,6.38217228,2.785660764,0.607971578,0.090909142,0.525445274,-0.809653999,0.202337183,0.005108878,4.47082042016367
244,327671,9750482,4.666992188,8.517858036,2.977793175,0.658222712,0.132526806,0.573048962,-0.795642862,0.310478034,0.005956475,6.04617599110722
245,327646,9750482,2.801025391,6.353477319,3.240306475,0.618121256,0.110590128,0.565774821,-0.790211643,0.253503268,0.00359998,5.21580579312362
246,327674,9750481,3.176269531,7.495275689,2.694411942,0.666675009,0.133875766,0.554178606,-0.81791333,0.314171096,0.00668769,6.09723824320719
247,327649,9750481,4.267089844,8.358806117,2.786860751,0.676680694,0.166773088,0.54919786,-0.792038782,0.40672179,0.005277353,7.34250226095272
248,327681,9750481,1.864501953,5.311290613,2.325077916,0.657019387,0.151828016,0.525309825,-0.824765796,0.360745546,0.009118105,6.7767856836515
249,327677,9750481,2.215820313,6.370097076,2.140930542,0.636138619,0.127957971,0.49599526,-0.84575831,0.296572718,0.009115756,5.87323164540891
250,327623,9750481,2.304931641,6.214647639,2.520990234,0.6456918,0.135923556,0.519817106,-0.812048589,0.321417859,0.00710792,6.17475334315664
